||option||type||description||
||-h, --help|| ||show this help message and exit||
||-h, --help|| ||show this help message and exit||
||--version|| ||show program's version number and exit||
||--generate_doc|| ||Extract help strings of each command line argument and generate wiki table.||
||--path||str||Path to a folder containing current results (default = highest spt_XX)||
||--iter||int||Iteration number within path. Default = auto||
||--bins||int||Number of bins to use in the histogram||
||--mode||str||Which variable to histogram, score, coverage, alt, az, phi, dx, dy, dz. default=score.||
||--extract|| ||If set, will convert the .json file to a .txt file suitable for plotting. No histogramming is involved, this is a per-particle conversion||
||--gui|| ||If set will open an interactive plot with the results||
||--verbose, -v||int||verbose level [0-9], higher number means higher level of verboseness||
||--verbose, -v||int||verbose level [0-9], higher number means higher level of verboseness||
||--ppid||int||Set the PID of the parent process, used for cross platform PPID||
